dataset,experiment_type,precision,recall,f1,detection_mechanism_breakdown,auc_mean,auc_ci_low,auc_ci_high,f1_ci_low,f1_ci_high,prec_ci_low,prec_ci_high,rec_ci_low,rec_ci_high
personachat,lambda_0.10_off,0.52,1.0,0.6842105263157895,composite_score:26(100.0%),,,,,,,,,
personachat,lambda_0.20_off,0.52,1.0,0.6842105263157895,composite_score:26(100.0%),,,,,,,,,
personachat,lambda_0.30_off,0.52,1.0,0.6842105263157895,composite_score:26(100.0%),,,,,,,,,
personachat,lambda_0.40_off,0.52,1.0,0.6842105263157895,composite_score:26(100.0%),,,,,,,,,
personachat,lambda_0.50_off,0.5306122448979592,1.0,0.6933333333333334,composite_score:26(100.0%),,,,,,,,,
personachat,lambda_0.60_off,0.5306122448979592,1.0,0.6933333333333334,composite_score:26(100.0%),,,,,,,,,
personachat,lambda_0.70_off,0.5416666666666666,1.0,0.7027027027027027,composite_score:26(100.0%),,,,,,,,,
personachat,lambda_0.80_off,0.5306122448979592,1.0,0.6933333333333334,composite_score:26(100.0%),,,,,,,,,
personachat,lambda_0.90_off,0.52,1.0,0.6842105263157895,composite_score:26(100.0%),,,,,,,,,
personachat,lambda_1.00_off,0.5098039215686274,1.0,0.6753246753246753,composite_score:26(100.0%),,,,,,,,,
personachat,overrides_off_full,0.5306122448979592,1.0,0.6933333333333334,composite_score:26(100.0%),0.8910447635439103,0.7813399187503023,0.9689796937517835,0.5624080882352941,0.8,0.3912156166814552,0.6666666666666666,1.0,1.0
personachat,overrides_off_linguistic_only,0.49056603773584906,1.0,0.6582278481012658,composite_score:26(100.0%),,,,,,,,,
personachat,overrides_off_no_linguistic,0.8947368421052632,0.6538461538461539,0.7555555555555555,composite_score:17(100.0%),,,,,,,,,
personachat,overrides_off_no_semantic,0.49056603773584906,1.0,0.6582278481012658,composite_score:26(100.0%),,,,,,,,,
personachat,overrides_off_no_temporal,0.52,1.0,0.6842105263157895,composite_score:26(100.0%),,,,,,,,,
personachat,overrides_off_semantic_only,0.9444444444444444,0.6538461538461539,0.7727272727272727,composite_score:17(100.0%),,,,,,,,,
personachat,overrides_off_temporal_only,0.5952380952380952,0.9615384615384616,0.7352941176470589,composite_score:25(100.0%),,,,,,,,,
personachat,overrides_on_full,0.5306122448979592,1.0,0.6933333333333334,composite_score:12(46.2%)|override_3:14(53.8%),,,,,,,,,
